chr,start,end
chr13,55654384,55812212
chr14,42065891,42174515
chr14,106246290,106820732
chr15,20532605,20730453
chr15,22280465,22681064
chr16,34466559,34765204
chr19,8192290,8315631
chr19,20598431,20716377
chr22,23085353,23258603
chrX,88499792,88755099
chrX,91556779,92056886
chr1,196709223,196816718
chr2,89136116,89461034
chr2,242917306,243034674
chr3,129791336,129896364
chr5,26116348,26238194
chr8,12239823,12559835
chr12,7970721,8123225
chr14,105988026,106770845
chr15,22159029,22681064
chr16,34517294,34740000
chr19,43211270,43445041
chr1,144946510,145151716
chr2,89136040,89593743
chr2,242915454,243032414
chr3,129731741,129914958
chr5,26116348,26220502
chr8,12239823,12578078
chr8,39235591,39388287
chr12,150430,865970
chr12,875342,8559653
chr12,8580816,12418611
chr12,12437418,20946521
chr12,20957569,25883204
chr12,25914769,26325379
chr12,26364849,26567205
chr12,26586701,34231103
chr12,34246773,48014214
chr12,48114366,59222065
chr12,59227157,60169887
chr12,60176579,75121306
chr12,75125934,77898549
chr12,77899048,80839927
chr12,80848838,98929114
chr12,98962070,101195088
chr12,101222844,111912584
chr12,111926901,129902226
chr12,129911460,130992216
chr12,130999968,131748060
chr12,131749559,131896165
chr12,131900123,133777645
chr14,105988026,106821724
chr15,22280465,22588019
chr15,24477794,24718584
chr16,32654941,33624297
chr16,34517294,34740000
chr19,20596194,20716377
chr22,16102407,17031072
chr22,23004375,23259859
chr1,121343784,145257170
chr1,149040066,149190306
chr2,89133112,89545331
chr2,91653934,92090873
chr2,242915454,243026246
chr3,129716127,129907258
chr3,162513447,162625983
chr8,12239823,12566650
chr8,39235591,39384112
chr12,7970721,8123225
chr14,105988026,106821724
chr15,22159029,22588019
chr15,24475194,24718584
chr16,33169940,33864347
chr16,34517294,34768275
chr17,44208144,44401055
chr19,20596194,20716377
chr19,43268611,43448006
chr21,11084669,14635289
chr22,16102407,16894264
chr22,23099160,23221264
chrX,91691906,92056886
chr1,196706866,196824588
chr2,89133619,89501226
chr2,242915454,243034674
chr3,129711979,129851851
chr11,71352127,71527699
chr12,8004413,8123225
chr14,106197115,106821724
chr15,20488324,20624194
chr15,22159029,22681064
chr15,24514620,24718584
chr16,34466559,34746181
chr19,20596194,20716377
chr22,22968324,23221112
chrX,91570046,92056886
chr1,196673619,196935393
chr2,89136040,89358624
chr4,69374929,69489323
chr5,32527302,32671855
chr5,128748170,128935620
chr6,52615583,52723976
chr7,30704159,30806450
chr7,131239844,131365443
chr8,7387032,7696249
chr8,34997579,35212071
chr8,39235591,39386953
chr9,33694760,33812752
chr10,95575682,95683216
chr14,55502204,55621379
chr14,106194465,106526954
chr14,106567088,106899485
chr15,37292780,37508169
chr16,34520204,34644305
chr17,44176972,44364158
chr17,71837558,72633815
chr18,43986480,44106331
chr22,24994813,25099180
chrX,91556779,92043529
chrX,93726109,93836251
chrX,112894452,113019336
chrX,115007722,115206378
chr1,16844920,17262235
chr1,149061968,149190306
chr1,196709223,196816718
chr2,89133619,89461034
chr3,75527170,75733782
chr4,69374929,69558259
chr4,93213379,93437469
chr6,94285529,94439962
chr7,43259,10563470
chr7,10579657,13976772
chr7,13976858,46079709
chr7,46154496,62706404
chr7,63166234,99815247
chr7,99848094,133785759
chr7,133798546,150695195
chr7,150700159,157264174
chr7,157277828,159119708
chr8,11987714,12554743
chr13,55692197,55836410
chr14,106029625,106303437
chr14,106342305,106526954
chr14,106574548,106826627
chr15,24516344,24718584
chr16,34517294,34642895
chr17,44165803,44401055
chr17,71831938,72671620
chr20,193159,419067
chr20,2488294,2618308
chr20,2828523,3116705
chr20,3185123,3435475
chr20,7901265,8151701
chr20,8744479,9031629
chr20,9683016,9881109
chr20,10592701,10692989
chr20,11586237,11880521
chr20,12296047,12421429
chr20,12654767,13118902
chr20,13313170,13479718
chr20,13830216,14007691
chr20,21064171,21312923
chr20,21565666,21730752
chr20,21782156,22091139
chr20,22544962,22798558
chr20,23398738,23553328
chr20,25304793,25810309
chr20,29527881,29876317
chr20,30114251,30337322
chr20,31397316,31550178
chr20,32087001,32461708
chr20,33240403,33585834
chr20,34334781,34499368
chr20,34820289,35291087
chr20,36529578,36635244
chr20,40261061,40512766
chr20,43442141,43548739
chr20,44204771,44455176
chr20,44588179,44765941
chr20,45226021,45329847
chr20,56802891,57115980
chr20,60703073,60840612
chr1,16844920,17262235
chr2,89136040,89461034
chr2,188446356,188676762
chr4,92868801,93027966
chr4,93490527,93685733
chr5,717367,824436
chr7,43259,1988703
chr7,2100674,3370201
chr7,3381813,4877539
chr7,4891752,10563470
chr7,10608347,13976772
chr7,13976858,17918761
chr7,18040264,46096132
chr7,46164562,46993984
chr7,47032225,47515709
chr7,47520850,55269952
chr7,55277964,55637023
chr7,55655774,62715890
chr7,63166234,64958610
chr7,65026480,99841254
chr7,99848094,142474939
chr7,142486033,157264585
chr7,157277828,159119708
chr8,7371466,7746356
chr8,12247145,12578078
chr8,39256049,39386953
chr14,41993985,42174515
chr14,106194465,106526954
chr14,106574548,106821724
chr16,21770734,22028016
chr16,34517294,34667676
chr17,44165803,44364158
chr17,71837558,72652919
chr19,20596194,20716377
chr19,21256801,21391358
chr21,11084669,14642464
chr1,17011438,17283075
chr2,89136040,89593743
chr4,69374929,69558259
chr14,105988026,106526954
chr14,106567088,106826627
chr16,34517294,34642895
chr17,44165803,44288579
chr17,71837558,72690684
chr19,20580475,20716377
chr19,21212097,21392852
chr21,11084669,14603577
chr1,148662322,149143161
chr1,248660172,248835914
chr2,89133619,89461034
chr14,64759984,64876621
chr14,106194465,106401664
chr16,34466559,34601318
chr17,71837558,72135484
chr17,72147357,72282891
chr17,72299217,72474608
chr17,72481980,72671620
chrX,91494654,91619825
chr2,89143756,89593743
chr2,117811664,117925535
chr3,162512645,162626591
chr4,12262990,12569705
chr5,642720,809794
chr8,39248730,39386953
chr14,106246290,106828125
chr15,22384989,22503861
chr17,44208144,44364158
chr19,43262970,43397946
chrX,88494865,88755099
chrX,91556779,92119324
chr2,89143756,89501226
chr2,188266058,188460512
chr3,173851073,173961430
chr4,69371991,69521397
chr5,717367,825641
chr7,121196326,121457377
chr8,12371371,12578078
chr8,39248730,39386953
chr10,54999433,55102814
chr13,55691370,55803605
chr14,105988026,106303437
chr14,106342305,106526954
chr14,106567088,106828125
chr16,34517294,34667676
chr17,44208144,44364158
chr17,71831938,72671620
chr19,20596194,20716377
chr22,23139389,23258603
chr2,13200000,243199373
chr12,1,133851895
chr12,1,133851895
chr9,43600000,68700000
chr9,43600000,68700000
chr12,1,133851895
chr17,1,81195210
chrX,1,155270560
chrX,1,155270560
chr12,1,133851895
chr14,1,107349540
chr17,1,81195210
chrX,1,155270560
chr12,1,133851895
chr14,1,107349540
chr17,1,81195210
chr20,1,63025520
chr20,28400001,31500000
chr12,1,133851895
chr20,28400001,31500000
chr20,28400001,31500000
chr20,28400001,31500000
chr12,1,115169878
chr1,61724,86329
chr1,25596394,25646974
chr1,26248231,26286840
chr1,65390094,65412480
chr1,72768487,72811904
chr1,104163776,104261194
chr1,110224373,110242941
chr1,152555695,152586226
chr1,196738612,196749849
chr1,196823306,196892946
chr1,248749183,248808557
chr2,34699316,34737045
chr2,52754457,52781530
chr2,54690616,54715300
chr2,89133113,89593743
chr2,90121404,90135873
chr2,146864393,146878398
chr2,234650605,234664902
chr3,46801806,46849577
chr3,63991634,64098754
chr3,129780865,129808799
chr4,9370691,9486075
chr4,64697458,64708246
chr4,70134669,70229422
chr5,17481600,17515789
chr5,147359959,147435107
chr6,78969054,79035173
chr6,103737965,103762049
chr6,156088459,156103246
chr7,76143626,76557212
chr7,133785166,133798097
chr7,141693570,141715776
chr7,143970299,144066935
chr8,7250369,7832042
chr8,7935844,8009192
chr8,11851157,12162770
chr8,12260916,12419953
chr8,24970502,24984333
chr8,39230172,39389112
chr8,93014835,93024932
chr9,44209784,44273229
chr9,44727848,44855725
chr10,133647133,133659712
chr11,25608535,25624729
chr12,150431,203640
chr12,11512481,11543374
chr13,56968152,57008042
chr13,69564058,69598747
chr13,85435326,85446510
chr14,24452690,24484459
chr14,41597551,41657337
chr14,106197116,106320374
chr14,106342306,106706125
chr14,106896604,106934536
chr15,20935077,22212114
chr15,27917579,27927794
chr16,20512770,20532642
chr17,34437117,34629684
chr17,44219556,44276548
chr17,65129923,65140589
chr18,40881067,40903331
chr18,76049104,76067494
chr19,15678821,15697185
chr19,43703493,43756225
chr20,1578951,1593837
chr22,23019959,23223233
chr22,24350518,24396802
chrX,76195982,76357623
chrX,88805597,89035799
chrX,90853124,91313739
chrX,91803135,92021247
chrX,92135061,92243399
chr1,61724,718651
chr1,16777680,17082579
chr1,17089338,17114700
chr1,17177034,17276229
chr1,65390094,65410273
chr1,72760845,72811904
chr1,106013365,106029078
chr1,144832256,145290292
chr1,152555695,152586582
chr1,152757691,152768247
chr1,155189149,155201064
chr1,196738612,196749809
chr1,196823306,196892946
chr1,248749183,248797201
chr2,25530029,25633409
chr2,27804115,27919153
chr2,34691070,34737045
chr2,52754457,52781530
chr2,89133113,89995025
chr2,90121404,90211593
chr2,91773333,91828661
chr2,98108993,98190137
chr2,166117861,166243837
chr2,184595728,184609810
chr2,188401994,188460512
chr2,189179248,189202876
chr2,235091546,235110179
chr3,11020915,11036697
chr3,62556869,62587499
chr3,64038817,64098754
chr3,98796342,98814248
chr3,148912997,148974301
chr3,173849081,173961023
chr4,4134989,4186049
chr4,9370691,9435322
chr4,9446036,9501382
chr4,10214161,10235256
chr4,34770295,34795460
chr4,55641491,55664003
chr4,60098644,60127633
chr4,62319042,62462234
chr4,62609117,62686944
chr4,64697458,64708246
chr4,65451607,65515459
chr4,69371992,69540013
chr4,70127633,70229422
chr4,77782349,77800625
chr4,93053705,93124994
chr4,93395510,93643824
chr4,96073870,96111286
chr4,120895720,120981638
chr4,129367179,129418973
chr4,139265553,139285676
chr4,140049093,140117588
chr4,164275856,164298239
chr4,165553330,165609351
chr4,189221413,189232359
chr5,800675,825641
chr5,12800878,12833857
chr5,18447396,18479166
chr5,18734755,18868973
chr5,46172360,46199423
chr5,46209288,46334867
chr5,79351545,79396743
chr5,82338007,82354554
chr5,84072825,84127662
chr5,125385127,125409725
chr5,147040078,147062458
chr5,147265594,147400410
chr5,150205489,150224083
chr5,179065643,179096306
chr5,180181401,180195862
chr6,32429595,32518757
chr6,33456095,33482843
chr6,42040292,42155489
chr6,53931056,53942914
chr6,94353066,94461185
chr6,94998832,95038503
chr6,103737965,103762049
chr6,107424251,107485656
chr6,109954108,109990987
chr6,156088459,156103246
chr7,5878501,5928736
chr7,13984859,13995524
chr7,64901853,65069489
chr7,76143626,76607295
chr7,92419845,92480425
chr7,109437081,109453791
chr7,131557369,131584453
chr7,141770498,141820589
chr7,142476708,142486480
chr8,7334998,7832042
chr8,7935844,8009192
chr8,11877196,12162770
chr8,12260916,12420170
chr8,49905381,49941703
chr8,51032028,51044524
chr8,72565253,72595641
chr9,6652733,6670448
chr9,19449159,19494098
chr9,43700867,44273229
chr9,44727848,44855725
chr9,131185962,132690613
chr10,72798,117527
chr10,47058781,47077946
chr10,47685592,47960070
chr10,61743190,61762822
chr10,62076837,62104776
chr10,67308580,67326054
chr10,95086273,95136246
chr10,114415537,114468464
chr10,114594454,114629443
chr10,117957131,117980452
chr10,127472290,127518538
chr10,133647133,133658703
chr10,135194891,135243105
chr11,98897290,98930472
chr11,100822615,100850073
chr11,111736456,111786923
chr11,118331476,118355769
chr11,125788986,125810571
chr12,150431,203640
chr12,8520545,8584660
chr12,11511566,11552590
chr12,31278032,31407111
chr12,34464458,34512767
chr12,49025473,49065538
chr12,50659636,50707273
chr12,79804809,79858768
chr12,85179289,85236981
chr12,91427971,91444892
chr13,38072025,38084745
chr13,44700184,44734696
chr13,55038097,55080781
chr13,55691371,55771923
chr13,56224813,56426203
chr13,57758615,57778368
chr13,68354280,68365830
chr13,82071495,82085194
chr14,19801744,20422583
chr14,41615109,41657337
chr14,106199365,106291201
chr14,106342306,106693466
chr14,106896604,106934536
chr15,20556431,20586945
chr15,21129984,22673387
chr15,83083421,83204498
chr15,88981480,88998547
chr16,10920440,10931623
chr16,20512770,20532642
chr16,21786730,21997551
chr16,54445329,54456932
chr16,70119742,70281766
chr16,80657409,80672704
chr17,18365934,18465209
chr17,28860581,29000582
chr17,34443801,34629684
chr17,37820993,37862000
chr17,44219556,44264069
chr17,50246998,50258854
chr17,54160903,54176392
chr17,69271629,69287361
chr18,40881067,40903331
chr18,49543078,49570773
chr18,57922100,57942840
chr18,69577294,69590392
chr19,23608469,23646121
chr19,35849482,35861158
chr19,43703493,43756225
chr19,56297254,56307723
chr20,1561569,1582195
chr20,15972730,15990784
chr20,41720929,41736904
chr20,46620932,46640088
chr20,54470325,54499138
chr21,10736860,10940630
chr22,22749534,22785308
chr22,23019959,23223233
chrX,76195982,76357623
chrX,88818514,89067333
chrX,91158913,91314729
chrX,92190867,92243399
chrX,123447017,123632228
chr1,61724,356530
chr1,17177034,17262235
chr1,72768487,72811136
chr1,152555695,152586226
chr1,196738612,196816718
chr2,24601461,24611715
chr2,34699316,34737045
chr2,89133113,89501226
chr2,188178090,188541988
chr3,46801806,46849577
chr3,62479554,62544840
chr3,65189224,65199690
chr3,162513138,162625983
chr4,10214161,10230785
chr4,70123499,70228644
chr5,717368,761113
chr5,9901953,9922903
chr5,97048467,97099672
chr5,114706444,114721081
chr5,180378877,180418091
chr6,32454512,32497194
chr6,77439869,77452804
chr6,78969054,79039234
chr7,127928442,127963077
chr7,141693570,141711905
chr8,7170478,7226424
chr8,39235592,39386953
chr9,44243423,44837515
chr10,47096231,47743504
chr10,135242874,135373435
chr11,55374021,55442306
chr12,52120264,52175292
chr13,111760299,111904335
chr14,106197116,106567088
chr14,106709586,106740762
chr15,19109353,19548923
chr15,56790828,56800965
chr17,18313819,18453425
chr17,44458483,44738320
chr17,50507394,50666045
chr19,20598432,20716377
chr19,48649284,48728349
chr20,1561642,1598094
chr22,23004376,23223233
chr22,24283005,24344410
chr22,24368345,24396802
chr22,39363608,39375295
chrX,76183575,76357623
chrX,88269950,88408734
chrX,88805597,89017371
chrX,92190867,92243399
chrY,10387166,10428677
chr1,61724,356530
chr1,16844921,17262235
chr1,63564133,63603451
chr1,72749849,72822824
chr1,112695675,112706137
chr1,149041711,149229831
chr1,149242652,149254920
chr1,152555177,152586582
chr1,196738612,196801430
chr2,857432,944415
chr2,34699316,34737045
chr2,89133113,89545331
chr2,177107093,177188182
chr2,188431824,188453801
chr4,10214161,10230785
chr4,64697458,64708246
chr4,70134669,70229422
chr4,115171583,115182163
chr4,172367776,172377921
chr5,32109578,32158443
chr5,121427231,121535638
chr5,146272514,146411126
chr5,180380192,180418091
chr6,29871637,29908469
chr6,45225762,45285884
chr6,52623509,52662694
chr6,78979260,79039234
chr6,103737965,103762049
chr7,9128803,9233055
chr7,11733427,11773517
chr7,139285352,139301891
chr7,141693570,141715776
chr7,157730274,157803711
chr8,7371467,7646315
chr8,12232270,12281109
chr8,39230172,39370462
chr9,44396688,44855725
chr9,131425765,131557953
chr11,27577771,27698374
chr11,61022156,61057053
chr11,133298608,133402456
chr11,133635399,133714672
chr12,8012468,8130958
chr12,102294265,102313365
chr13,38129899,38151202
chr13,70742317,70772883
chr14,106246291,106530352
chr14,106530676,106567088
chr14,106569452,106751272
chr16,6314936,6419430
chr16,21534305,21593622
chr16,22558300,22704520
chr16,34486861,34757071
chr16,78372429,78384989
chr18,33428737,33450575
chr18,47427159,47445012
chr18,68833268,68853265
chr20,29835038,31663816
chr20,59569026,59590189
chr21,10736860,11069428
chr22,21607073,21845282
chr22,23058930,23223233
chr22,24329712,24396802
chrX,68007798,68096095
chrX,95324390,95399391
chrX,107834032,107949359
chrX,111879040,112081505
chrX,132783549,132882904
chrX,136694502,136728050
chr1,61724,356530
chr1,16871267,17262235
chr1,72749849,72811904
chr1,81845965,81893618
chr1,112695675,112706128
chr1,149041867,149152390
chr1,152555177,152586226
chr1,196738612,196802060
chr2,34701614,34737045
chr2,89133113,89545331
chr3,62482553,62532618
chr4,10210391,10229296
chr4,64697458,64708246
chr4,70130809,70231787
chr5,12800878,12824411
chr5,32122597,32158443
chr5,180378877,180418091
chr6,29871637,29908469
chr6,52623509,52662694
chr6,78971770,79039234
chr6,103737965,103762049
chr7,90291,130363
chr7,9128803,9227840
chr7,141693570,141715776
chr7,157732405,157803711
chr8,12034296,12311626
chr8,39235592,39389112
chr9,44396688,44855725
chr9,131421452,131557953
chr11,61022156,61053920
chr12,8004414,8698954
chr13,70736065,70772883
chr14,19844096,20374645
chr14,106197116,106526954
chr14,106541742,106569451
chr14,106574549,106706125
chr16,19947135,19965863
chr16,21534305,21593622
chr16,22587454,22704520
chr16,34536352,34755554
chr16,78372429,78384989
chr19,6975999,6987786
chr19,35849482,35861836
chr20,29835038,31666311
chr20,59569026,59590189
chr22,16206200,16425814
chr22,22729135,22794082
chr22,23040139,23223233
chr22,24344411,24396802
chrX,111879040,112121136
chr1,17182426,17259308
chr1,25596394,25646974
chr1,72760845,72811904
chr1,110224373,110253130
chr1,112696182,112706186
chr1,148947699,149190306
chr1,152555177,152586582
chr2,18905364,19013114
chr2,89133113,89545331
chr3,75449603,75613162
chr3,162490483,162623885
chr4,10214161,10234995
chr4,69294788,69489323
chr4,70127633,70231787
chr4,183335941,183368613
chr6,67008263,67033803
chr6,77439869,77452804
chr6,78969054,79035173
chr6,103737965,103762049
chr7,133785166,133798546
chr7,141693570,141715776
chr7,142156283,142185094
chr7,143896241,144027564
chr8,12232270,12247474
chr9,44396688,44837515
chr9,140255631,140290834
chr10,46989081,47392320
chr11,18940082,18961166
chr12,8004414,8130958
chr12,9633859,9713662
chr13,57763136,57778368
chr14,106197116,106639463
chr15,20216944,20574146
chr15,18845991,19422452
chr15,22317501,22588019
chr15,43893073,43938288
chr15,92880502,93078961
chr15,100884600,100948845
chr16,86555874,86569358
chr17,18319851,18474634
chr17,44458483,44738320
chr19,43294379,43537378
chr20,1561642,1593837
chr20,59569026,59590045
chr22,23017542,23223233
chr22,39363608,39389739
chrX,88271816,88392926
chrX,88805597,89017371
chrX,89707253,89805843
chrX,91158913,91262359
chrX,92177360,92243399
chr1,61724,768781
chr1,17022270,17262235
chr1,25595936,25673142
chr1,72771132,72811136
chr1,111377355,111388214
chr1,144832256,144986985
chr1,149067138,149259404
chr1,152555177,152586226
chr1,152754631,152773905
chr1,196738612,196749849
chr1,232670115,232750354
chr2,30614453,30631693
chr2,34699316,34737045
chr2,52754457,52781283
chr2,55330302,55357315
chr2,87373882,88024655
chr2,89133620,89497676
chr2,242915455,243023881
chr3,45245745,45291959
chr3,152726147,152801228
chr3,166100824,166378003
chr3,191174945,191199060
chr4,10214161,10231486
chr4,17166074,17210786
chr4,34778849,34818758
chr4,64697458,64708246
chr4,69472867,69505103
chr4,78260270,78274908
chr4,93506318,93553282
chr4,121609701,121643418
chr4,133269153,133301939
chr4,139223368,139260411
chr5,743839,788048
chr5,39773896,39786324
chr5,56420356,56453407
chr5,141110908,141139666
chr6,62112601,62240860
chr6,78969054,79035173
chr6,95452253,95533326
chr7,3395068,3415067
chr7,4499518,4518152
chr7,142156283,142179742
chr7,143909224,144033839
chr7,154386020,154401017
chr8,6083351,6094440
chr8,12232270,12247474
chr8,25009034,25048873
chr8,36045311,36087964
chr8,39235592,39384112
chr8,47651958,47679168
chr8,61674502,61704083
chr8,65760198,65773694
chr8,66468429,66621287
chr9,5084215,5106788
chr9,43505841,43800174
chr9,44396688,46390902
chr9,105246683,105284462
chr9,113247605,113267399
chr9,126967783,126991185
chr10,47047588,47059809
chr10,81561459,81656766
chr11,4256118,4307408
chr11,5783384,5812348
chr11,5816175,5828900
chr11,54857911,54965596
chr12,9637898,9735686
chr12,12415698,12439062
chr13,19045629,19207102
chr13,28663112,28686649
chr13,38072025,38084745
chr13,48203946,48230849
chr13,95987359,95999182
chr13,99126304,99141272
chr13,103368513,103387546
chr14,28134149,28154554
chr14,39135575,39171670
chr14,56861582,56881495
chr14,73378396,73414647
chr14,98302344,98321179
chr14,105366500,105382228
chr14,106194466,106747087
chr14,106872051,106918096
chr15,20941066,20992233
chr15,19406831,20089383
chr15,34551911,34573595
chr15,44116905,44146810
chr15,44507404,44530628
chr15,51803437,51825225
chr15,56791613,56821416
chr16,25185156,25210267
chr16,57311813,57355946
chr17,9379552,9416472
chr17,44458483,44738320
chr17,59984810,60018838
chr18,67536122,67548815
chr19,5734163,5763533
chr19,6338371,6404507
chr19,12296285,12333758
chr19,15082897,15109202
chr19,15308069,15325735
chr19,15426427,15439561
chr19,15643591,15701741
chr19,19710109,19740729
chr19,23387789,23416567
chr19,39459378,39524824
chr19,43691319,43753498
chr19,51327711,51355650
chr20,1560776,1590245
chr20,5569823,5677793
chr21,10736860,10988423
chr21,23682235,23694082
chr21,25900322,25910760
chr21,29919064,29940627
chr21,34738463,34756538
chr21,48077217,48096945
chr22,21607073,21845282
chr22,23002700,23223233
chrX,27497313,27509328
chrX,62392071,62464200
chrX,76195982,76357623
chrX,98650694,98740631
chrX,117051477,117083507
chrX,138142795,138157909
chrX,138853908,138937872
chr1,61724,229607
chr1,17082580,17258127
chr1,72768487,72811136
chr1,144036738,144957815
chr1,149036513,149254920
chr1,152555756,152586582
chr1,232541848,232750354
chr2,607567,624678
chr2,34699316,34737045
chr2,52754457,52781530
chr2,87373882,87496048
chr2,87549039,88024655
chr2,89133113,89545331
chr2,90121340,90195665
chr2,118397590,118438080
chr2,196484193,196509576
chr2,230770623,230820612
chr2,242915455,243026246
chr3,45243931,45291959
chr3,62484588,62506378
chr3,68732017,68747231
chr3,77551316,77616575
chr3,129775847,129806912
chr3,138547926,138622046
chr3,152759724,152801228
chr3,162528619,162540478
chr3,166056402,166369144
chr4,12270,62114
chr4,10214161,10231486
chr4,34786489,34816059
chr4,64697458,64725504
chr4,69078508,69578084
chr4,122273632,122285135
chr5,15521,164193
chr5,21338794,21377841
chr5,56386178,56454947
chr5,134830724,134858048
chr6,61886429,61989267
chr6,62112601,62240985
chr6,78969054,79041797
chr6,95452253,95533326
chr7,4501763,4518152
chr7,19677536,19704451
chr7,26859300,26871953
chr7,61875419,62124062
chr7,131144058,131174703
chr7,141760831,141789965
chr7,142476708,142486480
chr7,143927796,144066935
chr8,1974488,2001755
chr8,10667766,10688997
chr8,12233629,12247474
chr8,39235592,39386953
chr8,61674502,61745636
chr8,70910974,70954822
chr8,120968454,121058766
chr8,140524277,140565579
chr9,19161146,19171247
chr9,31980999,32006580
chr9,44396688,44875930
chr9,128635670,128711455
chr10,5709289,5766165
chr10,73308409,73339978
chr10,81513178,81588023
chr10,93021045,93042508
chr10,135287265,135328692
chr11,5787394,5809127
chr11,18224502,18245602
chr11,50417550,51282897
chr11,54857911,54978384
chr11,120904894,120941805
chr11,124868194,124894556
chr12,9637898,9734958
chr12,11511566,11526289
chr12,34749222,34796116
chr12,37929228,38072474
chr12,114459204,114611983
chr13,38072025,38084745
chr13,95987359,96014328
chr14,35063262,35155982
chr14,71646968,71661456
chr14,95165390,95176137
chr14,101384626,101464984
chr14,106246291,106750868
chr14,106756847,106918096
chr15,22301995,22588019
chr15,23063953,23078746
chr15,56350996,56365023
chr16,65454760,65482887
chr16,78372429,78384989
chr17,21831308,21855577
chr17,44458483,44738320
chr18,9918026,9961206
chr18,35169261,35224338
chr18,63700275,63721579
chr18,64950110,64967253
chr19,6318202,6356508
chr19,6727293,6766594
chr19,43703022,43756225
chr20,1560988,1590245
chr20,5658089,5677793
chr20,5737028,5774759
chr20,34369046,34428483
chr20,52127032,52151185
